name,latitude,longitude,postcode,chargeDeviceStatus,deviceControllerName
Park Lane Car Park (Q-Park) 9,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 10,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 11,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 12,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 13,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 14,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 15,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 16,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 17,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 18,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 19,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 20,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 21,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 22,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 23,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 24,51.508874,-0.154453,W1K 7TY,In service,Source London
Park Lane Car Park (Q-Park) 25,51.508874,-0.154453,W1K 7TY,In service,Source London
Canary Wharf 2,51.504622,-0.016295,E14 5EW,In service,Source London
Canary Wharf 3,51.504622,-0.016295,E14 5EW,In service,Source London
Canary Wharf 4,51.504622,-0.016295,E14 5EW,In service,Source London
Canary Wharf 5,51.504622,-0.016295,E14 5EW,In service,Source London
Canary Wharf 6,51.504622,-0.016295,E14 5EW,In service,Source London
Canary Wharf 7,51.504622,-0.016295,E14 5EW,In service,Source London
Westfield Stratford City Car Park A 2,51.544176,-0.00697,E20 1EJ,In service,Source London
Westfield Stratford City Car Park A 3,51.544215,-0.007291,E20 1EJ,In service,Source London
Westfield Stratford City Car Park A 4,51.544236,-0.007592,E20 1EJ,In service,Source London
Westfield Stratford City Car Park A 5,51.544229,-0.007356,E20 1EJ,In service,Source London
Westfield Stratford City Car Park A 6,51.544149,-0.007806,E20 1EJ,In service,Source London
Westfield Stratford City Car Park A 7,51.544203,-0.007163,E20 1EJ,In service,Source London
Westfield Stratford City Car Park A 8,51.544155,-0.006916,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 2,51.543836,-0.005532,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 3,51.543969,-0.005575,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 4,51.543916,-0.005489,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 5,51.544183,-0.005564,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 6,51.543976,-0.005296,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 7,51.543942,-0.004952,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 8,51.544102,-0.005467,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 9,51.544189,-0.005789,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 10,51.543749,-0.004866,E20 1EJ,In service,Source London
Westfield Stratford City Car Park B 11,51.544336,-0.006347,E20 1EJ,In service,Source London
Harley Street Car Park (Q-Park) 2,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 3,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 4,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 5,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 6,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 7,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 8,51.517916,-0.145613,W1G 9HF,In service,Source London
Stratford International Station 2,51.545403,-0.00637,E15 1AZ,In service,Source London
Stratford International Station 3,51.54543,-0.005855,E15 1AZ,In service,Source London
Stratford International Station 4,51.545483,-0.006456,E15 1AZ,In service,Source London
Stratford International Station 5,51.54567,-0.006499,E15 1AZ,In service,Source London
Stratford International Station 6,51.545643,-0.006413,E15 1AZ,In service,Source London
Stratford International Station 7,51.545616,-0.005726,E15 1AZ,In service,Source London
Stratford International Station 8,51.545376,-0.006456,E15 1AZ,In service,Source London
Harley Street Car Park (Q-Park) 9,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 10,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 11,51.517916,-0.145613,W1G 9HF,In service,Source London
Harley Street Car Park (Q-Park) 12,51.517916,-0.145613,W1G 9HF,In service,Source London
Sutherland Avenue 2,51.527759,-0.182649,W9 1RX,Out of service,Source London
Sutherland Avenue 3,51.527706,-0.182606,W9 1RX,Out of service,Source London
Francis Street 2,51.496429,-0.137437,SW1P 1QP,In service,Source London
Francis Street 3,51.496429,-0.137437,SW1P 1QP,In service,Source London
Temple Place 2,51.511466,-0.113148,WC2R 2PG,Out of service,Source London
Temple Place 3,51.511433,-0.113335,WC2R 2PG,Out of service,Source London
Sainsbury's Beckton 2,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 3,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 4,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 5,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 6,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 7,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 8,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 9,51.521315,0.065875,E6 6JF,In service,Source London
Sainsbury's Beckton 10,51.521315,0.065875,E6 6JF,In service,Source London
Westfield London Car Park 2,51.508241,-0.22192,W12 7SL,In service,Source London
Westfield London Car Park 3,51.507907,-0.222628,W12 7SL,In service,Source London
Westfield London Car Park 4,51.508067,-0.223014,W12 7SL,In service,Source London
Westfield London Car Park 5,51.50772,-0.222328,W12 7SL,In service,Source London
Westfield London Car Park 6,51.508201,-0.2231,W12 7SL,In service,Source London
Westfield London Car Park 7,51.508361,-0.222628,W12 7SL,In service,Source London
Westfield London Car Park 8,51.508601,-0.222971,W12 7SL,In service,Source London
Westfield London Car Park 9,51.508601,-0.223443,W12 7SL,In service,Source London
Westfield London Car Park 10,51.508441,-0.223443,W12 7SL,In service,Source London
ExCeL London Exhibition Centre 2,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 3,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 4,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 5,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 6,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 7,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 8,51.50816,0.02712,E16 1XL,In service,Source London
ExCeL London Exhibition Centre 9,51.50816,0.02712,E16 1XL,In service,Source London
Newbury Park Station Car Park 2,51.575648,0.090275,IG2 7RN,In service,Source London
Newbury Park Station Car Park 3,51.575648,0.090275,IG2 7RN,In service,Source London
Newbury Park Station Car Park 4,51.575781,0.09049,IG2 7RN,In service,Source London
Cockfosters Station Car Park 2,51.652024,-0.149917,EN4 0DZ,In service,Source London
Cockfosters Station Car Park 3,51.652024,-0.149917,EN4 0DZ,In service,Source London
Cockfosters Station Car Park 4,51.652024,-0.149917,EN4 0DZ,In service,Source London
Ikea Wembley 2,51.553945,-0.259835,NW10 0TH,In service,Source London
Ikea Wembley 3,51.553945,-0.259835,NW10 0TH,In service,Source London
Ikea Wembley 4,51.553945,-0.259835,NW10 0TH,In service,Source London
Whittington Hospital Car Park 2,51.566918,-0.139259,N19 5NG,In service,Source London
Whittington Hospital Car Park 3,51.566691,-0.13956,N19 5NG,In service,Source London
West Middlesex University Hospital Car Park 2,51.474078,-0.32619,TW7 6AF,In service,Source London
West Middlesex University Hospital Car Park 3,51.474666,-0.325718,TW7 6AF,In service,Source London
Euston Station Car Park 2,51.528664,-0.133296,NW1 2RT,In service,Source London
Euston Station Car Park 3,51.528664,-0.133296,NW1 2RT,In service,Source London
Exchange Shopping Centre Car Park 2,51.463906,-0.216287,SW15 1TW,Out of service,Source London
Exchange Shopping Centre Car Park 3,51.463906,-0.216287,SW15 1TW,Out of service,Source London
Smithfield Market Car Park 2,51.519072,-0.101405,EC1A 9DS,Out of service,Source London
Smithfield Market Car Park 3,51.519025,-0.10148,EC1A 9DS,Out of service,Source London
Toyota Burgh Heath 2,51.314939,-0.232476,KT18 5UX,In service,Source London
Toyota Burgh Heath 3,51.315261,-0.231961,KT18 5UX,In service,Source London
Abingdon Car Park 2,51.498076,-0.126358,SW1P 3RX,In service,Source London
Abingdon Car Park 3,51.498169,-0.126379,SW1P 3RX,In service,Source London
King George Hospital 2,51.580545,0.112107,IG3 8YB,In service,Source London
King George Hospital 3,51.580545,0.112107,IG3 8YB,In service,Source London
King George Hospital 4,51.580545,0.112107,IG3 8YB,In service,Source London
South Street 2,51.527348,0.168552,RM13 8PJ,In service,Source London
South Street 3,51.527488,0.16837,RM13 8PJ,In service,Source London
South Street 4,51.527855,0.168627,RM13 8PJ,In service,Source London
Snaresbrook Station Car Park 2,51.58049,0.021021,E11 1QE,In service,Source London
Snaresbrook Station Car Park 3,51.58103,0.021268,E11 1QE,In service,Source London
Snaresbrook Station Car Park 4,51.58103,0.021268,E11 1QE,In service,Source London
Loughton Station Car Park 2,51.641304,0.054084,IG10 4PD,In service,Source London
Loughton Station Car Park 3,51.641463,0.053719,IG10 4PD,In service,Source London
Loughton Station Car Park 4,51.64123,0.053741,IG10 4PD,In service,Source London
Trafalgar Car Park 2,51.507309,-0.129457,SW1A 2TS,In service,Source London
Trafalgar Car Park 3,51.507309,-0.129457,SW1A 2TS,In service,Source London
Trafalgar Car Park 4,51.507309,-0.129457,SW1A 2TS,In service,Source London
London Olympics Media Centre 2,51.548174,-0.024709,E9 5JH,In service,Source London
London Olympics Media Centre 3,51.54828,-0.024623,E9 5JH,In service,Source London
London Olympics Media Centre 4,51.5482,-0.025353,E9 5JH,In service,Source London
London Olympics Media Centre 5,51.548227,-0.025053,E9 5JH,In service,Source London
London Olympics Media Centre 6,51.548707,-0.023851,E9 5JH,In service,Source London
London Wall Car Park 2,51.51767,-0.094916,EC2V 5DY,Out of service,Source London
London Wall Car Park 3,51.51767,-0.094916,EC2V 5DY,Out of service,Source London
London Wall Car Park 4,51.51767,-0.094916,EC2V 5DY,Out of service,Source London
London Wall Car Park 5,51.51767,-0.094916,EC2V 5DY,Out of service,Source London
Minories Car Park 2,51.510393,-0.07441,E1 8LP,Out of service,Source London
Minories Car Park 3,51.510393,-0.07441,E1 8LP,Out of service,Source London
Minories Car Park 4,51.510393,-0.07441,E1 8LP,Out of service,Source London
Minories Car Park 5,51.510393,-0.07441,E1 8LP,In service,Source London
Baynard House Car Park 2,51.511811,-0.100161,EC4V 4BQ,Out of service,Source London
Baynard House Car Park 3,51.511811,-0.100161,EC4V 4BQ,Out of service,Source London
Baynard House Car Park 4,51.511811,-0.100161,EC4V 4BQ,Out of service,Source London
Baynard House Car Park 5,51.511811,-0.100161,EC4V 4BQ,Out of service,Source London
Redbridge Station Car Park 2,51.576367,0.045394,IG4 5DQ,In service,Source London
Redbridge Station Car Park 3,51.576367,0.045394,IG4 5DQ,In service,Source London
Redbridge Station Car Park 4,51.576367,0.045394,IG4 5DQ,In service,Source London
Redbridge Station Car Park 5,51.576367,0.045394,IG4 5DQ,In service,Source London
Arnos Grove Station Car Park 2,51.616261,-0.132539,N11 1BA,In service,Source London
Arnos Grove Station Car Park 3,51.616361,-0.132603,N11 1BA,In service,Source London
Arnos Grove Station Car Park 4,51.616414,-0.132518,N11 1BA,In service,Source London
Arnos Grove Station Car Park 5,51.616441,-0.132475,N11 1BA,In service,Source London
Blackhorse Road Station Car Park 2,51.587535,-0.041688,E17 6ND,In service,Source London
Blackhorse Road Station Car Park 3,51.587575,-0.042504,E17 6ND,In service,Source London
Blackhorse Road Station Car Park 4,51.587468,-0.041774,E17 6ND,In service,Source London
Blackhorse Road Station Car Park 5,51.587948,-0.042847,E17 6ND,In service,Source London
High Barnet Station Car Park 2,51.6496,-0.174271,EN5 5RP,In service,Source London
High Barnet Station Car Park 3,51.6496,-0.174271,EN5 5RP,In service,Source London
High Barnet Station Car Park 4,51.6496,-0.174271,EN5 5RP,In service,Source London
High Barnet Station Car Park 5,51.6496,-0.174271,EN5 5RP,In service,Source London
Oakwood Station Car Park 2,51.647824,-0.130996,N14 4UT,In service,Source London
Oakwood Station Car Park 3,51.64833,-0.129322,N14 4UT,In service,Source London
Oakwood Station Car Park 4,51.647798,-0.130953,N14 4UT,In service,Source London
Oakwood Station Car Park 5,51.647984,-0.130609,N14 4UT,In service,Source London
Oakwood Station Car Park 6,51.648357,-0.130266,N14 4UT,In service,Source London
Newham University Hospital 2,51.523008,0.035391,E13 8SL,In service,Source London
Newham University Hospital 3,51.523008,0.035391,E13 8SL,In service,Source London
Newham University Hospital 4,51.523302,0.034661,E13 8SL,In service,Source London
Newham University Hospital 5,51.522981,0.035734,E13 8SL,In service,Source London
Newham University Hospital 6,51.523382,0.034661,E13 8SL,In service,Source London
Rayners Lane Station Car Park 2,51.575123,-0.370854,HA5 5EG,In service,Source London
Rayners Lane Station Car Park 3,51.575026,-0.372163,HA5 5EG,In service,Source London
Rayners Lane Station Car Park 4,51.575143,-0.372377,HA5 5EG,In service,Source London
Rayners Lane Station Car Park 5,51.57523,-0.373643,HA5 5EG,In service,Source London
Rayners Lane Station Car Park 6,51.575016,-0.37227,HA5 5EG,In service,Source London
Stanmore Station Car Park 2,51.61958,-0.30193,HA7 4PD,In service,Source London
Stanmore Station Car Park 3,51.61948,-0.301865,HA7 4PD,In service,Source London
Stanmore Station Car Park 4,51.619034,-0.300824,HA7 4PD,In service,Source London
Stanmore Station Car Park 5,51.619087,-0.301168,HA7 4PD,In service,Source London
Stanmore Station Car Park 6,51.618074,-0.300524,HA7 4PD,In service,Source London
Chinatown Car Park 2,51.512314,-0.129598,WC2H 7PR,In service,Source London
Chinatown Car Park 3,51.512264,-0.129485,WC2H 7PR,In service,Source London
Chinatown Car Park 4,51.512264,-0.129485,WC2H 7PR,In service,Source London
Chinatown Car Park 5,51.512264,-0.129485,WC2H 7PR,In service,Source London
Chinatown Car Park 6,51.512264,-0.129485,WC2H 7PR,In service,Source London
Tower Hill Car Park 2,51.508814,-0.080169,EC3R 6DT,In service,Source London
Tower Hill Car Park 3,51.508814,-0.080169,EC3R 6DT,In service,Source London
Tower Hill Car Park 4,51.508814,-0.080169,EC3R 6DT,In service,Source London
Tower Hill Car Park 5,51.508814,-0.080169,EC3R 6DT,In service,Source London
Tower Hill Car Park 6,51.508814,-0.080169,EC3R 6DT,In service,Source London
Chalfont & Latimer Station Car Park 2,51.668453,-0.562125,HP7 9PR,In service,Source London
Chalfont & Latimer Station Car Park 3,51.667914,-0.560923,HP7 9PR,In service,Source London
Chalfont & Latimer Station Car Park 4,51.667914,-0.560923,HP7 9PR,In service,Source London
Chalfont & Latimer Station Car Park 5,51.667914,-0.560923,HP7 9PR,In service,Source London
Chalfont & Latimer Station Car Park 6,51.667914,-0.560923,HP7 9PR,In service,Source London
MK1,52.04268,-0.759627,MK9 2AD,In service,Chargemaster (POLAR)
MK2,51.82201,-0.82722,HP19 8FF,In service,Chargemaster (POLAR)
MK3,51.70291,-0.614182,HP5 1LF,In service,Chargemaster (POLAR)
Next Retail (MK4),52.04496,-0.754219,MK9 3AQ,In service,Chargemaster (POLAR)
MK5,51.84269,-0.937232,HP18 0JH,In service,Chargemaster (POLAR)
MK6,52.04259,-0.759829,MK9 2AD,In service,Chargemaster (POLAR)
MK7,52.03964,-0.75682,MK9 3DH,In service,Chargemaster (POLAR)
MK8,52.04289,-0.76074,MK9 2AD,In service,Chargemaster (POLAR)
Iceland Foods,52.04261,-0.749904,MK9 3BB,In service,Chargemaster (POLAR)
MK10,52.04493,-0.754298,MK9 3AQ,In service,Chargemaster (POLAR)
Virgin Money (MK11),52.04286,-0.760807,MK9 2AD,In service,Chargemaster (POLAR)
MK12,52.0396,-0.756949,MK9 3DH,In service,Chargemaster (POLAR)
Travelodge Hotel,52.03825,-0.771841,MK9 1AL,In service,Chargemaster (POLAR)
Silverstone Innovation Centre,52.07815,-1.023551,NN12 8GX,In service,Chargemaster (POLAR)
MK15,52.04264,-0.749845,MK9 3JT,In service,Chargemaster (POLAR)
MK16,51.70449,-0.707449,HP16 9AE,In service,Chargemaster (POLAR)
MK17,51.609,-0.557039,SL9 9RS,In service,Chargemaster (POLAR)
MK18,51.67413,-0.606514,HP6 5AP,In service,Chargemaster (POLAR)
MK19,52.04259,-0.749966,MK9 3JT,In service,Chargemaster (POLAR)
Easton Street Car Park,51.62836,-0.747091,HP11 1NP,In service,Chargemaster (POLAR)
Silverstone Circuit (Car Park 49),52.07368,-1.023322,NN12 8GX,In service,Chargemaster (POLAR)
MK22,51.82201,-0.82721,HP19 8FF,In service,Chargemaster (POLAR)
MK23,52.04499,-0.75414,MK9 3AQ,In service,Chargemaster (POLAR)
Bank House Office Car Park,52.03699,-0.768707,MK9 1EB,In service,Chargemaster (POLAR)
MK37,52.037287,-0.766177,MK9 1ES,In service,Chargemaster (POLAR)
Gerald Eve LLP (MK38),52.036142,-0.764984,MK9 1AU,In service,Chargemaster (POLAR)
MK39,52.036142,-0.764984,MK9 1AU,In service,Chargemaster (POLAR)
MK40,52.036142,-0.764984,MK9 1AU,In service,Chargemaster (POLAR)
MK41,52.041772,-0.761694,MK9 2AD,In service,Chargemaster (POLAR)
MK42,52.03872,-0.763076,MK9 1BW,In service,Chargemaster (POLAR)
MK43,52.039958,-0.760184,MK9 1BW,In service,Chargemaster (POLAR)
MK44,52.038157,-0.759942,MK9 1BW,In service,Chargemaster (POLAR)
MK45,52.039958,-0.760184,MK9 2HQ,In service,Chargemaster (POLAR)
Home Retail Group Argos Parking Bay,52.038157,-0.759942,MK9 2NW,In service,Chargemaster (POLAR)
MK47,52.038157,-0.759942,MK9 2NW,In service,Chargemaster (POLAR)
MK48,52.038157,-0.759942,MK9 2NW,In service,Chargemaster (POLAR)
Church Street Car park,52.062453,-0.80891,MK12 5JN,In service,Chargemaster (POLAR)
MK50,52.152646,-0.701118,MK46 4AJ,In service,Chargemaster (POLAR)
MK51,51.994529,-0.731813,MK2 2ZW,In service,Chargemaster (POLAR)
MK52,52.038668,-0.77095,MK9 1LH,In service,Chargemaster (POLAR)
MK53,52.038668,-0.77095,MK9 1LH,In service,Chargemaster (POLAR)
MK54,52.038668,-0.77095,MK9 1LH,In service,Chargemaster (POLAR)
MK55,52.038668,-0.77095,MK9 1LH,In service,Chargemaster (POLAR)
MK College Silbury Campus,52.038471,-0.769352,MK9 1LT,In service,Chargemaster (POLAR)
MK57,52.038471,-0.769352,MK9 1LT,In service,Chargemaster (POLAR)
MK58,52.038471,-0.769352,MK9 1LT,In service,Chargemaster (POLAR)
Jaeger Store (MK59),52.043104,-0.758435,MK9 3AF,In service,Chargemaster (POLAR)
MK60,52.043104,-0.758435,MK9 3AF,In service,Chargemaster (POLAR)
Disney Store (MK61),52.043737,-0.757032,MK9 3AE,In service,Chargemaster (POLAR)
MK62,52.043737,-0.757032,MK9 3AE,In service,Chargemaster (POLAR)
MK63,52.043502,-0.751862,MK9 3NJ,In service,Chargemaster (POLAR)
MK64,52.043502,-0.751862,MK9 3NJ,In service,Chargemaster (POLAR)
Milton Keynes Post Office,52.044073,-0.750534,MK9 3QA,In service,Chargemaster (POLAR)
MK66,52.044073,-0.750534,MK9 3PW,In service,Chargemaster (POLAR)
Market Square Car Park,52.056048,-0.854002,MK11 1BE,In service,Chargemaster (POLAR)
MK68,52.056048,-0.854002,MK11 1BE,In service,Chargemaster (POLAR)
MK69,52.04283,-0.75941,MK9 2AD,In service,Chargemaster (POLAR)
MK70,52.04283,-0.75941,MK9 2AD,In service,Chargemaster (POLAR)
MK71,52.04306,-0.76132,MK9 3EJ,In service,Chargemaster (POLAR)
MK72,52.04306,-0.76132,MK9 3EJ,In service,Chargemaster (POLAR)
Curry Digital (MK73),52.04414,-0.75633,MK9 3AE,In service,Chargemaster (POLAR)
MK74,52.04414,-0.75633,MK9 3AE,In service,Chargemaster (POLAR)
Lower Twelth Street (MK75),52.04281,-0.74982,MK9 3NZ,In service,Chargemaster (POLAR)
MK76,52.04281,-0.74982,MK9 3JT,In service,Chargemaster (POLAR)
Secklow Gate Car Park,52.04192,-0.75206,MK9 3NE,In service,Chargemaster (POLAR)
MK78,52.04192,-0.75206,MK9 3NE,In service,Chargemaster (POLAR)
MK79,52.04286,-0.75311,MK9 3NT,In service,Chargemaster (POLAR)
MK80,52.04286,-0.75311,MK9 3NT,In service,Chargemaster (POLAR)
MK81,52.04023,-0.75529,MK9 3HR,In service,Chargemaster (POLAR)
MK82,52.04023,-0.75529,MK9 3HR,In service,Chargemaster (POLAR)
MK83,52.03999,-0.76027,MK9 2DF,In service,Chargemaster (POLAR)
MK84,52.03999,-0.76027,MK9 2DF,In service,Chargemaster (POLAR)
MK85,52.03956,-0.76262,MK9 3HP,In service,Chargemaster (POLAR)
MK86,52.03956,-0.76262,MK9 3HP,In service,Chargemaster (POLAR)
Genesis House,52.03894,-0.76402,MK9 2JE,In service,Chargemaster (POLAR)
MK88,52.03894,-0.76402,MK9 2JE,In service,Chargemaster (POLAR)
MK89,52.03702,-0.76852,MK9 1EB,In service,Chargemaster (POLAR)
MK90,52.03702,-0.76852,MK9 1EB,In service,Chargemaster (POLAR)
Medina House,52.0402,-0.76552,MK9 2AE,In service,Chargemaster (POLAR)
MK92,52.0402,-0.76552,MK9 2AE,In service,Chargemaster (POLAR)
MK93,52.04079,-0.76414,MK9 2AF,In service,Chargemaster (POLAR)
MK94,52.04079,-0.76414,MK9 2AF,In service,Chargemaster (POLAR)
MK95,52.04391,-0.74765,MK9 3NZ,In service,Chargemaster (POLAR)
Barnsdale Lodge Hotel Oakham,52.674034,-0.658059,LE15 8AH,In service,Chargemaster (POLAR)
Charles Clark Toyota Wolverhampton,52.579493,-2.111841,WV2 2QE,In service,Chargemaster (POLAR)
City of Stoke on Trent 1,53.022676,-2.175966,ST1 3DX,In service,APT
City of Stoke on Trent 2,53.022654,-2.176044,ST1 3DX,In service,APT
City of Stoke on Trent 3,53.022697,-2.175905,ST1 3DX,In service,APT
Farmer and Carlisle Toyota Leicester,52.622852,-1.131778,LE2 6BE,In service,Chargemaster (POLAR)
Gordon Lamb Toyota Chesterfield,53.250608,-1.427988,S41 7HY,In service,Chargemaster (POLAR)
Greetham Valley Golf Course,52.710907,-0.600861,LE15 7SN,In service,Chargemaster (POLAR)
Hylton Renault Worcester,52.187005,-2.247648,WR2 5HW,In service,Chargemaster (POLAR)
Inchcape Toyota Derby,52.911088,-1.450624,DE24 8BY,In service,Chargemaster (POLAR)
Inchcape Toyota Nottingham,52.948883,-1.181088,NG7 2GQ,In service,Chargemaster (POLAR)
John Roe Toyota Grimsby,53.566401,-0.102271,DN31 2BA,In service,Chargemaster (POLAR)
Lucy Tower Car Park Lincoln,53.229359,-0.544285,LN1 1XL,In service,Chargemaster (POLAR)
Malvern Hills Priory Road 1,52.11016,-2.324024,WR14 3DS,In service,APT
Malvern Hills Priory Road 2,52.11016,-2.324094,WR14 3DS,In service,APT
Malvern Hills Priory Road 3,52.11016,-2.324024,WR14 3DS,In service,APT
Murley Nissan Warwick,52.288628,-1.573068,CV34 5JB,In service,APT
Nottingham University Jubillee Campus ATC 1,52.95209,-1.182212,NG7 2TU,In service,APT
Nottingham University Jubillee Campus ATC 2,52.952193,-1.182254,NG7 2TU,In service,APT
Nottingham University Jubillee Campus ATC 3,52.952206,-1.182286,NG7 2TU,In service,APT
Pinkstones Toyota Stoke on Trent,52.987582,-2.173256,ST4 4DD,In service,Chargemaster (POLAR)
Renault Retail Group Birmingham Forecourt C3,52.473183,-1.881314,B12 0LL,In service,metermanager
Renault Retail Group Birmingham Forecourt C4,52.473122,-1.881278,B12 0LL,In service,Chargemaster (POLAR)
